IdExperienciaApp;IdProveedor;Estado;ExperienciaUniversal;Edad;Hijos;EdadHijos;EdadBeneficiarios;Antiguedad;Ingresos;FechaIngreso;Genero;TipoContrato;Cargo;Ciudad;TipoFamilia;AdultoMayor;Gestantes;Mascota;TipoMascota;ProgramaVigilanciaEpidemiologica;categoriaAfiliacion;PersonasEspeciales;afiliacionCajaCompensacion;afiliacionPbsCompensar;afiliacionPcCompensar;beneficiarioPbsCompensar;beneficiarioPcCompensar;TipoRemuneracion;GruposAplica;NombreExperiencia;NombreCortoExperiencia;TipoExperiencia;CategoriaBienestar;CantidadDisponible;Preferencias;ProcesarMotor
5e7d19cc8664ae4022cfadbc;0;ACTIVO;False;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Fijo, Indefinido, Obra O Labor;_Sindato;Bogota, Girardot;Monoparental, Nucleares, Extensas, Parejas sin hijos;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;"""Te Acompañamos En Tus Eventos Familiares""";"""Asesoría Eventos""";Informativa;Diviértete Y Comparte;0;64e6768793293143c6716a2a;1
5e7d22358664ae4022cfadc4;0;ACTIVO;False;18 a 75;_Sindato;_Sindato;_Sindato;1 a 50;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Bogota, Girardot, Fusagasuga, La Calera, Tocancipa, Cajica, Facatativa;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;A, B, C;_Sindato;Si;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;"""Es Momento De Comprar Vivienda, ¿Necesitas El Crédito? Aquí Tenemos La Mejor Opción""";"""Viv Crédito Hipotecario Compen""";Informativa;Para Toda La Familia;0;64e676d293293143c6716a2c;1
5e7d65788664ae4022cfadcc;0;ACTIVO;False;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;1 a 4;_Sindato;_Sindato;Fijo, Indefinido, Obra O Labor;_Sindato;Bogota;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;"""Construye O Mejora Tu Casa Con El Programa De Mejoramiento De Vivienda""";"""Construcción En Sitio Propio""";Informativa;Para Toda La Familia;0;64e676d293293143c6716a2c;1
5e7d67da8664ae4022cfadce;0;ACTIVO;False;18 a 75;_Sindato;_Sindato;_Sindato;1 a 50;_Sindato;_Sindato;_Sindato;Fijo, Indefinido, Obra O Labor;_Sindato;Bogota, Girardot;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;"""Unifica Tus Deudas Con Nuestras Opciones De Compra De Cartera""";"""Crédito Compra De Cartera""";Informativa;Aprende Y Crece;0;64e6761393293143c6716a29;1
5e7e5b34f16da0167353c171;0;ACTIVO;False;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Bogota, Soacha, Facatativa, Madrid, Funza, Cota, Tenjo, Tabio, Chia, Cajica, Zipaquira, Tocancipa, Sopo, La Calera;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;A, B, C;_Sindato;Si;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;"""En Gmo Encuentras Las Gafas Oftálmicas Y De Sol Perfectas Para Ti""";"""Des Gmo""";Informativa;Cuida De Ti;0;65fb70b5a432ef1df3d7ecd6;1
5e837a0f087c5e1e2d9e7689;0;ACTIVO;False;18 a 75;_Sindato;_Sindato;_Sindato;1 a 50;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Bogota, Girardot;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;"""Estamos Contigo, Recupera Tu Vida Financiera Con El Crédito De Compra De Cartera""";"""Recuperación Vida Financiera""";Informativa;Aprende Y Crece;0;64e6761393293143c6716a29;1
5e83c271087c5e1e2d9e76d9;0;ACTIVO;False;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Bogota, Soacha, Facatativa, Madrid, Mosquera, Funza, Cota, Tenjo, Tabio, Chia, Cajica, Zipaquira, Tocancipa, Sopo, La Calera;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;A, B, C;_Sindato;Si;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;"""Cumple Tus Propósitos Académicos En La Universidad Ecci""";"""Des Universidad Ecci""";Informativa;_Sindato;0;64e6761393293143c6716a29;1
5e84f905087c5e1e2d9e772b;0;ACTIVO;False;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;1 a 3;_Sindato;_Sindato;_Sindato;_Sindato;Girardot, Bogota;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;"""En Los Momentos Difíciles Te Acompañamos Con Tu Subsidio Extraordinario""";"""Subsidio Extraordinario""";Informativa;Aprende Y Crece;0;64e6761393293143c6716a29;1
5e864dcd087c5e1e2d9e7733;1;ACTIVO;True;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Aporte De Ahorro Al Fondo Mutuo De Inversión;Fondo Mutuo De Inversión;Informativa;_Sindato;0;65fb7027ebb36179ac5e7137;1
5e8cf129c3758d52b79922bf;1;ACTIVO;True;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;_Sindato;Disfruta Una Jornada Familiar Llena De Diversión Y Lazos Fuertes;Jornada Familiar;Informativa;_Sindato;0;65fb7027ebb36179ac5e7137;1
